character,decomposition,definition,etymology_hint,etymology_phonetic,etymology_semantic,etymology_type,matches,pinyin,radical
锗,⿰钅者,germanium,metal,者,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",zhě,钅
锘,⿰钅若,nobelium,metal,若,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",nuò,钅
错,⿰钅昔,"error, mistake; incorrect, wrong",Gold 钅 that once was 昔 but is lost,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",cuò,钅
锚,⿰钅苗,anchor,metal,苗,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",máo,钅
锛,⿰钅奔,adze,metal,奔,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",bēn,钅
锝,⿰钅㝵,technetium,metal,㝵,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",dé,钅
锞,⿰钅果,ingot; acrobatic move,gold,果,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",kè,钅
锟,⿰钅昆,a legendary sword,metal,昆,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",kūn,钅
锡,⿰钅易,"tin; to bestow, to confer",metal,易,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",xī,钅
锢,⿰钅固,"to run hot metal through a mold; to confine, to restrain, to stop",To forge 固 metal 钅; 固 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",gù,钅
锣,⿰钅罗,gong,bell,罗,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",luó,钅
锤,⿰钅垂,hammer,metal,垂,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",chuí,钅
锥,⿰钅隹,"gimlet, drill, awl; to drill, to bore",metal,隹,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",zhuī,钅
锦,⿰钅帛,"brocade, tapestry; embroidered",Silk 帛 inlaid with gold 钅; 钅 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",jǐn,钅
锨,⿰钅欣,shovel,metal,欣,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",xiān,钅
锩,⿰钅卷,to bend iron,metal,卷,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",juǎn,钅
锪,⿰钅忽,a kind of tool,metal,忽,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",huō,钅
锫,⿰钅咅,berkelium,metal,咅,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",péi,钅
锬,⿰钅炎,long spear,metal,炎,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",tán,钅
锭,⿰钅定,"spindle, ingot; tablet, slab",metal,定,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",dìng,钅
键,⿰钅建,"lock, door bolt; key",metal,建,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",jiàn,钅
锯,⿰钅居,"a saw; to saw, to amputate",metal,居,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",jù,钅
锰,⿰钅孟,manganese,metal,孟,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",měng,钅
锱,⿰钅甾,half-pound; an ancient unit of weight,metal,甾,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",zī,钅
锲,⿰钅契,"sickle; to cut, to carve, to engrave",Something engraved 契 in metal 钅; 契 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",qiè,钅
锴,⿰钅皆,high-quality iron,metal,皆,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",kǎi,钅
锵,⿰钅将,"clang; jingle, tinkle",bell,将,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",qiāng,钅
锶,⿰钅思,strontium,metal,思,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",sī,钅
锷,⿰钅咢,"high, lofty; sharp; a knife's edge",metal,咢,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",è,钅
锸,⿰钅臿,"spade, shovel; marking pin",metal,臿,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",chā,钅
锹,⿰钅秋,shovel,metal,秋,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",qiāo,钅
锺,⿰钅重,"cup, glass, goblet; surname",metal,重,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",zhōng,钅
锻,⿰钅段,"to temper, to refine; to forge metal",metal,段,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",duàn,钅
锼,⿰钅叟,to carve,metal,叟,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",sōu,钅
锾,⿰钅爰,"to measure; money, coins",money,爰,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",huán,钅
锿,⿰钅哀,einsteinium,metal,哀,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",āi,钅
镀,⿰钅度,"to plate, to gild, to coat",gold,度,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",dù,钅
镁,⿰钅美,magnesium,metal,美,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",měi,钅
镂,⿰钅娄,"to inlay; to engrave, to carve; tattoo",metal,娄,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",lòu,钅
镄,⿰钅费,fermium,metal,费,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",fèi,钅
镅,⿰钅眉,americium,metal,眉,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",méi,钅
镆,⿰钅莫,sword,metal,莫,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",mò,钅
镇,⿰钅真,"calm, composed; to control, to suppress",metal,真,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",zhèn,钅
镈,⿰钅尃,"large bell; hoe, spade",bell,尃,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",bó,钅
镉,⿰钅鬲,cadmium,metal,鬲,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",gé,钅
镊,⿰钅聂,"tweezers, forceps, pliers; to nip, to pluck",metal,聂,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",niè,钅
镌,⿰钅隽,"engraving tool; to carve, to engrave",metal,隽,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",juān,钅
镍,⿰钅臬,nickel,metal,臬,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",niè,钅
镎,⿰钅拿,neptunium,metal,拿,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",ná,钅
镏,⿰钅留,to distill; lutetium; surname,A metal 钅 still 留; 留 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",liú,钅
镐,⿰钅高,stove; bright,metal,高,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",gǎo,钅
镑,⿰钅旁,pound sterling,money,旁,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",bàng,钅
镒,⿰钅益,a measure of weight used for gold,gold,益,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",yì,钅
镓,⿰钅家,gallium,metal,家,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",jiā,钅
镔,⿰钅宾,high-quality iron,metal,宾,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",bīn,钅
镕,⿰钅容,"mold; to fuse, to melt, to smelt",A mold that holds 容 hot metal 钅; 容 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",róng,钅
镖,⿰钅票,"spear, harpoon, dart; to escort",metal,票,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",biāo,钅
镗,⿰钅堂,"awl, boring tool",metal,堂,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",tāng,钅
镘,⿰钅曼,trowel,metal,曼,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",màn,钅
镙,⿰钅累,,metal,累,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",luó,钅
镚,⿰钅崩,"dime, small coin",money,崩,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",bèng,钅
镛,⿰钅庸,a large bell used as musical instrument,bell,庸,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",yōng,钅
镜,⿰钅竟,"mirror, glass; lens, glasses",metal,竟,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",jìng,钅
镝,⿰钅啇,dysprosium,metal,啇,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",dī,钅
镞,⿰钅族,"arrowhead, barb; quick, swift",metal,族,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",zú,钅
镟,⿰钅旋,lathe,metal,旋,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",xuàn,钅
镡,⿰钅覃,"dagger, dirk, short-sword",metal,覃,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",chán,钅
镢,⿰钅厥,hoe,metal,厥,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",jué,钅
镣,⿰钅尞,"fetters, leg-irons",metal,尞,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",liào,钅
镤,⿰钅菐,protactinium,metal,菐,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",pú,钅
镥,⿰钅鲁,lutetium,metal,鲁,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",lǔ,钅
镦,⿰钅敦,ferrule; to castrate,metal,敦,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",duì,钅
镧,⿰钅阑,lanthanum,metal,阑,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",lán,钅
镨,⿰钅普,praseodymium,metal,普,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",pǔ,钅
镩,⿰钅窜,"iron, pick, poker",metal,窜,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",cuān,钅
镪,⿰钅强,"coins, money, wealth",money,强,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",qiāng,钅
镫,⿰钅登,lamp; a kind of cooking vessel,metal,登,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",dèng,钅
镬,⿰钅蒦,"cauldron, large iron pot",metal,蒦,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",huò,钅
镭,⿰钅雷,radium,metal,雷,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",léi,钅
镯,⿰钅蜀,"bracelet, armband; small bell",metal,蜀,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",zhuó,钅
镰,⿰钅廉,sickle,metal,廉,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",lián,钅
镱,⿰钅意,ytterbium,metal,意,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",yì,钅
镲,⿰钅察,cymbals,bell,察,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",chǎ,钅
镳,⿰钅麃,"bit, bridle; to ride",A metal bit 钅 used to saddle 麃 a horse,,,ideographic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",biāo,钅
镴,⿰钅巤,"tin, solder",metal,巤,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",là,钅
镶,⿰钅襄,"inset, inlay; to set, to mount; to fill",metal,襄,钅,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",xiāng,钅
長,⿱？？,"long, lasting; to excel in",An old man with long hair and a cane,,,pictographic,"None,None,None,None,None,None,None,None",zhǎng,長
镸,⿱？厶,long; lasting; to excel in,,,,,"None,None,None,None,None,[1],[1]",cháng,镸
长,⿻？一,"long, lasting; to excel in",Simplified form of 長; an old man with long hair and a cane,,,ideographic,"None,[1],None,None",zhǎng,长
門,⿰？？,"gate, door, entrance, opening",An open doorway or gate,,,pictographic,"None,None,None,None,None,None,None,None",mén,門
閂,⿵門一,"bolt, latch, crossbar",A bar 一 laid across a gate 門,,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[1]",shuān,門
閃,⿵門人,"flash, lightning; to dodge, to evade",A man 人 just glimpsed through a door 門,,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]",shǎn,門
閉,⿵門才,"to shut, to close; to obstruct, to block",A door 門 blocked by bars 才,,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]",bì,門
開,⿵門开,"to open; to start, to initiate, to begin",gate,开,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]",kāi,門
閎,⿵門厷,"barrier, gate; vast, wide; to expand",gate,厷,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]",hóng,門
閏,⿵門王,"intercalary; extra, surplus",royal decree,門,王,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]",rùn,門
閑,⿵門木,"fence, guard; to defend; idle time",A wooden fence 木 with a door 門,,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]",xián,門
閒,⿵門月,"leisure, idle time; tranquil, peaceful, calm",The moon 月 seen through a door 門; night-time,,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]",xián,門
間,⿵門日,"between, among; midpoint; space, place, locality",The sun 日 shining through a doorway 門,,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]",jiān,門
閔,⿵門文,"to mourn, to grieve; to incite, to urge on",culture,門,文,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]",mǐn,門
閘,⿵門甲,"sluice, floodgate, canal lock",gate,甲,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",zhá,門
閡,⿵門亥,"separated, blocked; to prevent, to block",gate,亥,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",hé,門
閣,⿵門各,"cabinet, chamber, pavilion",door,各,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",gé,門
閤,⿵門合,chamber; shelf; side-door,door,合,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",gé,門
閥,⿵門伐,"clique, valve; a powerful and influential group",gate,伐,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",fá,門
閦,⿵門众,"busy, crowded; used in transliterations",A crowd 众 walking through a gate 門,,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",chù,門
閨,⿵門圭,women's quarters; lady's apartment,gate,圭,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",guī,門
閩,⿵門虫,Fujian province; a river; a tribe,insect,門,虫,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",mǐn,門
閫,⿵門困,threshold; women's quarters,gate,困,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]",kǔn,門
閬,⿵門良,"high door, high gate; high, lofty",A lofty 良 gate 門; 良 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]",láng,門
閭,⿵門吕,a village of twenty-five families,gate,吕,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",lǘ,門
閱,⿵門兌,"to examine, to inspect; to read, to review",,,,,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]",yuè,門
閵,⿵門隹,,,,,,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",lìn,門
閶,⿵門昌,the gates of heaven; the main gate of a palace,A heavenly 昌 gate 門; 昌 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",chāng,門
閹,⿵門奄,eunuch; to castrate,gate,奄,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",yān,門
閻,⿵門臽,village gate; surname,gate,臽,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",yán,門
閼,⿵門於,"to block, to obstruct, to stop up",gate,於,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",è,門
閾,⿵門或,"threshold; separated, confined",Separated 或 by a gate 門,,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",yù,門
闃,⿵門狊,"alone; quiet, still",gate,狊,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",qù,門
闆,⿵門品,"board, plank; plate, slab; unnatural, stiff",Door 門 material 品; 品 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",bǎn,門
闈,⿵門韋,"gate, door; living quarters",gate,韋,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",wéi,門
闉,⿵門垔,"bent, curved; a curved wall",gate,垔,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",yīn,門
闊,⿵門活,"ample, broad, wide; separate; to be apart",gate,活,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",kuò,門
闌,⿵門柬,"screen door, railing, fence",door,柬,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",lán,門
闔,⿵門盍,"to close; whole, entire, all",gate,盍,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",hé,門
闕,⿵門欮,palace; watchtower,gate,欮,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",quē,門
闖,⿵門馬,"to rush in, to charge in, to burst in",A horse 馬 charging through a gate 門,,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",chuǎng,門
關,⿵門⿱⿰幺幺丱,"frontier pass; to close, to shut; relation",gate,丱,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1, 0, 0],[1, 0, 0],[1, 0, 0],[1, 0, 1],[1, 0, 1],[1, 0, 1],[1, 1],[1, 1],[1, 1],[1, 1],[1, 1]",guān,門
闞,⿵門敢,"to glance, to peep; to growl, to roar",gate,敢,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",hǎn,門
闡,⿵門單,to disclose; to explain; to open,gate,單,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",chǎn,門
闢,⿵門辟,"open; to settle, to develop, to open up",gate,辟,門,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",pì,門
门,⿰⿱丶丨？,"gate, door, entrance, opening",An open doorway or gate,,,pictographic,"[0, 0],[0, 1],None",mén,门
闩,⿵门一,"bolt, latch, crossbar",A bar 一 laid across a gate 门,,,ideographic,"[0],[0],[0],[1]",shuān,门
闪,⿵门人,"flash, lightning; to dodge, to evade",A man 人 just glimpsed through a door 门,,,ideographic,"[0],[0],[0],[1],[1]",shǎn,门
闫,⿵门三,village gate,gate,三,门,pictophonetic,"[0],[0],[0],[1],[1],[1]",yàn,门
闭,⿵门才,"to shut, to close; to obstruct, to block",A door 门 blocked by bars 才,,,ideographic,"[0],[0],[0],[1],[1],[1]",bì,门
问,⿵门口,"to ask about, to inquire after",mouth,门,口,pictophonetic,"[0],[0],[0],[1],[1],[1]",wèn,门
闯,⿵门马,"to rush in, to charge in, to burst in",A horse 马 charging through a gate 门,,,ideographic,"[0],[0],[0],[1],[1],[1]",chuǎng,门
闰,⿵门王,"intercalary; extra, surplus",royal decree,门,王,pictophonetic,"[0],[0],[0],[1],[1],[1],[1]",rùn,门
闱,⿵门韦,"gate, door; living quarters",gate,韦,门,pictophonetic,"[0],[0],[0],[1],[1],[1],[1]",wéi,门
闲,⿵门木,"fence, guard; to defend; idle time",A wooden fence 木 with a door 门,,,ideographic,"[0],[0],[0],[1],[1],[1],[1]",xián,门
闳,⿵门厷,"barrier, gate; vast, wide; to expand",gate,厷,门,pictophonetic,"[0],[0],[0],[1],[1],[1],[1]",hóng,门
间,⿵门日,"between, among; midpoint; space, place, locality",The sun 日 shining through a doorway 门,,,ideographic,"[0],[0],[0],[1],[1],[1],[1]",jiān,门
闵,⿵门文,"to mourn, to grieve; to incite, to urge on",culture,门,文,pictophonetic,"[0],[0],[0],[1],[1],[1],[1]",mǐn,门
闶,⿵门亢,door,door,亢,门,pictophonetic,"[0],[0],[0],[1],[1],[1],[1]",kāng,门
闷,⿵门心,"gloomy, depressed, melancholy",heart,门,心,pictophonetic,"[0],[0],[0],[1],[1],[1],[1]",mèn,门
闸,⿵门甲,"sluice, floodgate, canal lock",gate,甲,门,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1]",zhá,门
闹,⿵门市,"busy, lively; to dispute, to quarrel",As busy as the market 市 gate 门,,,ideographic,"[0],[0],[0],[1],[1],[1],[1],[1]",nào,门
闺,⿵门圭,women's quarters; lady's apartment,gate,圭,门,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1]",guī,门
闻,⿵门耳,"news; to hear, to smell; to make known",ear,门,耳,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1]",wén,门
闼,⿵门达,"door, gate; the door to an inner room",door,达,门,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1]",tà,门
闽,⿵门虫,Fujian province; a river; a tribe,insect,门,虫,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1]",mǐn,门
闾,⿵门吕,a village of twenty-five families,gate,吕,门,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1]",lǘ,门
阀,⿵门伐,"clique, valve; a powerful and influential group",gate,伐,门,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1]",fá,门
阁,⿵门各,"cabinet, chamber, pavilion",door,各,门,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1]",gé,门
阂,⿵门亥,"separated, blocked; to prevent, to block",gate,亥,门,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1]",hé,门
阃,⿵门困,threshold; women's quarters,gate,困,门,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]",kǔn,门
阄,⿵门龟,"chance, risk; to draw lots",,,,,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]",jiū,门
阅,⿵门兑,"to examine, to inspect; to read, to review",,,,,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]",yuè,门
